time: 2000000000
0 1 1
0 2 1
0 3 1
0 4 1
0 5 1
1 1 1
1 2 1
1 3 1
1 4 1
1 5 1
2 1 1
2 2 1
2 3 1
2 4 1
2 5 1
3 1 1
3 2 1
3 3 1
3 4 1
3 5 1
4 1 1
4 2 1
4 3 1
4 4 1
4 5 1
5 1 1
5 2 1
5 3 1
5 4 1
6 1 1
6 2 1
6 3 1
6 4 1
7 1 1
7 2 1
7 3 1
7 4 1
8 1 1
8 2 1
8 3 1
8 4 1
9 1 1
9 2 1
9 3 1
9 4 1
10 1 1
10 2 1
10 3 1
10 4 1
11 1 1
11 2 1
11 3 1
11 4 1
12 1 1
12 2 1
12 3 1
12 4 1
13 1 1
13 2 1
13 3 1
13 4 1
14 1 1
14 2 1
14 3 1
14 4 1
15 1 1
15 2 1
15 3 1
15 4 1
16 1 1
16 2 1
16 3 1
16 4 1
17 1 1
17 2 1
17 3 1
17 4 1
18 1 1
18 2 1
18 3 1
18 4 1
19 1 1
19 2 1
19 3 1
19 4 1
20 1 1
20 2 1
20 3 1
20 4 1
37 1 1
37 2 1
37 3 1
37 4 1
37 5 1
38 1 1
38 2 1
38 3 1
38 4 1
38 5 1
39 1 1
39 2 1
39 3 1
39 4 1
39 5 1
40 1 1
40 2 1
40 3 1
40 4 1
40 5 1
41 1 1
41 2 1
41 3 1
41 4 1
41 5 1
42 1 1
42 2 1
42 3 1
42 4 1
43 1 1
43 2 1
43 3 1
43 4 1
44 1 1
44 2 1
44 3 1
44 4 1
45 1 1
45 2 1
45 3 1
45 4 1
46 1 1
46 2 1
46 3 1
46 4 1
47 1 1
47 2 1
47 3 1
47 4 1
48 1 1
48 2 1
48 3 1
48 4 1
49 1 1
49 2 1
49 3 1
49 4 1
50 1 1
50 2 1
50 3 1
50 4 1
51 1 1
51 2 1
51 3 1
51 4 1
52 1 1
52 2 1
52 3 1
52 4 1
53 1 1
53 2 1
53 3 1
53 4 1
54 1 1
54 2 1
54 3 1
54 4 1
55 1 1
55 2 1
55 3 1
55 4 1
56 1 1
56 2 1
56 3 1
56 4 1
57 1 1
57 2 1
57 3 1
57 4 1
